Rank,Platform,Year,Genre,Publisher,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Bin_Global_Sales
1,Wii,2006,Sports,Nintendo,Wii Sports,41.49,29.02,3.77,8.46,82.74,16.0
2,NES,1985,Platform,Nintendo,Super Mario Bros.,29.08,3.58,6.81,0.77,40.24,8.0
3,Wii,2008,Racing,Nintendo,Mario Kart Wii,15.85,12.88,3.79,3.31,35.82,7.0
4,Wii,2009,Sports,Nintendo,Wii Sports Resort,15.75,11.01,3.28,2.96,33.0,6.0
5,GB,1996,Role-Playing,Nintendo,Pokemon Red/Pokemon Blue,11.27,8.89,10.22,1.0,31.37,6.0
6,GB,1989,Puzzle,Nintendo,Tetris,23.2,2.26,4.22,0.58,30.26,6.0
7,DS,2006,Platform,Nintendo,New Super Mario Bros.,11.38,9.23,6.5,2.9,30.01,6.0
8,Wii,2006,Misc,Nintendo,Wii Play,14.03,9.2,2.93,2.85,29.02,5.0
9,Wii,2009,Platform,Nintendo,New Super Mario Bros. Wii,14.59,7.06,4.7,2.26,28.62,5.0
10,NES,1984,Shooter,Nintendo,Duck Hunt,26.93,0.63,0.28,0.47,28.31,5.0
11,DS,2005,Simulation,Nintendo,Nintendogs,9.07,11.0,1.93,2.75,24.76,4.0
12,DS,2005,Racing,Nintendo,Mario Kart DS,9.81,7.57,4.13,1.92,23.42,4.0
13,GB,1999,Role-Playing,Nintendo,Pokemon Gold/Pokemon Silver,9.0,6.18,7.2,0.71,23.1,4.0
14,Wii,2007,Sports,Nintendo,Wii Fit,8.94,8.03,3.6,2.15,22.72,4.0
15,Wii,2009,Sports,Nintendo,Wii Fit Plus,9.09,8.59,2.53,1.79,22.0,4.0
16,X360,2010,Misc,Microsoft Game Studios,Kinect Adventures!,14.97,4.94,0.24,1.67,21.82,4.0
17,PS3,2013,Action,Take-Two Interactive,Grand Theft Auto V,7.01,9.27,0.97,4.14,21.4,4.0
18,PS2,2004,Action,Take-Two Interactive,Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81,4.0
19,SNES,1990,Platform,Nintendo,Super Mario World,12.78,3.75,3.54,0.55,20.61,4.0
20,DS,2005,Misc,Nintendo,Brain Age: Train Your Brain in Minutes a Day,4.75,9.26,4.16,2.05,20.22,4.0
21,DS,2006,Role-Playing,Nintendo,Pokemon Diamond/Pokemon Pearl,6.42,4.52,6.04,1.37,18.36,3.0
22,GB,1989,Platform,Nintendo,Super Mario Land,10.83,2.71,4.18,0.42,18.14,3.0
23,NES,1988,Platform,Nintendo,Super Mario Bros. 3,9.54,3.44,3.84,0.46,17.28,3.0
24,X360,2013,Action,Take-Two Interactive,Grand Theft Auto V,9.63,5.31,0.06,1.38,16.38,3.0
25,PS2,2002,Action,Take-Two Interactive,Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15,3.0
26,GBA,2002,Role-Playing,Nintendo,Pokemon Ruby/Pokemon Sapphire,6.06,3.9,5.38,0.5,15.85,3.0
27,DS,2010,Role-Playing,Nintendo,Pokemon Black/Pokemon White,5.57,3.28,5.65,0.82,15.32,3.0
28,DS,2005,Puzzle,Nintendo,Brain Age 2: More Training in Minutes a Day,3.44,5.36,5.32,1.18,15.3,3.0
29,PS2,2001,Racing,Sony Computer Entertainment,Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98,2.0
30,X360,2011,Shooter,Activision,Call of Duty: Modern Warfare 3,9.03,4.28,0.13,1.32,14.76,2.0
31,GB,1998,Role-Playing,Nintendo,Pok茅mon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64,2.0
32,X360,2010,Shooter,Activision,Call of Duty: Black Ops,9.67,3.73,0.11,1.13,14.64,2.0
33,3DS,2013,Role-Playing,Nintendo,Pokemon X/Pokemon Y,5.17,4.05,4.34,0.79,14.35,2.0
